City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
136,bataipora,-22.2953,-53.2711,33.78,27,34,2.07,BR,1699827450
137,ribeira grande,38.5167,-28.7,18.21,87,100,2.68,PT,1699827450
138,port elizabeth,-33.918,25.5701,15.16,79,0,2.24,ZA,1699827450
139,baotou,40.6522,109.8222,-2.69,30,100,2.01,CN,1699827451
140,dauphin,51.1494,-100.0502,5.08,65,0,10.8,CA,1699827451
141,papatowai,-46.5619,169.4708,12.7,91,100,1.22,NZ,1699827452
142,ryotsu-minato,38.0833,138.4333,7.98,66,96,5.94,JP,1699827452
143,kyren,51.6828,102.1408,-9.47,74,38,0.89,RU,1699827452
144,karakol,42.4907,78.3936,-0.08,51,16,2.41,KG,1699827453
145,senftenberg,51.5167,14.0167,7.87,78,100,2.82,DE,1699827453
146,coreau,-3.5333,-40.6567,28.12,54,0,3.23,BR,1699827419
147,coquimbo,-29.9533,-71.3436,17.85,59,20,6.17,CL,1699827454
148,mount pearl,47.5166,-52.7813,0.08,90,100,4.63,CA,1699827454
149,kotido,2.9806,34.1331,22.85,67,38,4.35,UG,1699827454
150,dongling,41.8144,123.5758,-10.95,80,2,1.94,CN,1699827455
151,vernon,50.2581,-119.2691,8.2,58,100,2.06,CA,1699827455
152,amga,60.8953,131.9608,-14.31,92,100,3.61,RU,1699827455
153,bemidji,47.4736,-94.8803,10.1,66,0,7.72,US,1699827392
154,richards bay,-28.783,32.0377,19.4,82,100,3.99,ZA,1699827456
155,carnarvon,-24.8667,113.6333,20.33,85,16,2.55,AU,1699827456
156,kavieng,-2.5744,150.7967,27.86,72,100,2.51,PG,1699827457
157,tabatinga,-4.2525,-69.9381,29.0,70,20,1.54,BR,1699827457
158,hermanus,-34.4187,19.2345,14.92,82,1,3.7,ZA,1699827457
159,queenstown,-31.8976,26.8753,9.36,84,0,1.85,ZA,1699827458
160,saipan,15.1355,145.701,29.39,79,75,6.69,MP,1699827458
161,villanueva,15.3167,-88.0,28.91,74,40,3.6,HN,1699827458
162,zambezi,-13.5432,23.1047,20.01,83,100,1.74,ZM,1699827459
163,saint-francois,46.4154,3.9054,13.69,89,100,1.54,FR,1699827460
164,pandan,14.0453,124.1694,27.3,86,100,7.08,PH,1699827460
165,punta arenas,-53.15,-70.9167,12.06,50,75,12.35,CL,1699827461
166,kratie,12.4881,106.0188,21.74,94,96,2.02,KH,1699827461
167,brezina,33.0989,1.2608,15.96,32,19,2.48,DZ,1699827461
168,kalabo,-14.97,22.6814,23.15,66,48,2.01,ZM,1699827462
169,ust-nera,64.5667,143.2,-25.61,99,100,1.08,RU,1699827231
170,ado-odo,6.6,2.9333,26.14,90,83,2.8,NG,1699827463
171,samana,19.2056,-69.3369,27.98,86,18,4.49,DO,1699827463
172,olonkinbyen,70.9221,-8.7187,-3.13,67,97,1.74,SJ,1699827463
173,bilibino,68.0546,166.4372,-12.83,95,100,2.08,RU,1699827463
174,saldanha,-33.0117,17.9442,15.03,85,0,9.15,ZA,1699827464
175,mossel bay,-34.1831,22.146,12.96,75,0,1.51,ZA,1699827464
176,antofagasta,-23.65,-70.4,17.6,69,27,4.97,CL,1699827305
177,anna regina,7.2644,-58.5077,27.43,80,20,4.24,GY,1699827465
